prenom,genre,count
ABDOULLA,M,30
ABDOULLAH,M,851
ABDOULLAHI,M,22
ABDOULLAYE,M,37
ABDOULWAHAB,M,25
ABDOURAHAMANE,M,107
ABDOURAHIM,M,67
ABDOURAHMAN,M,120
ABDOURAHMANE,M,363
ABDOURAMANE,M,45
ABDOURAOUF,M,23
ABDOURAZAK,M,24
ABDOUROIHAMANE,M,34
ABDOURRAHMAN,M,51
ABDOURRAHMANE,M,57
ABDOUSALAM,M,20
ABDOUSSAMAD,M,20
ABDRAHAMANE,M,86
ABDRAHIM,M,69
ABDRAHMAN,M,83
ABDRAHMANE,M,84
ABDRAMANE,M,188
ABDSAMAD,M,85
ABDU,M,21
ABDUL,M,458
ABDUL-AZIZ,M,26
ABDUL-KADIR,M,32
ABDUL-KARIM,M,28
ABDUL-KERIM,M,21
ABDUL-MALIK,M,42
ABDUL-RAHMAN,M,48
ABDUL-SAMET,M,32
ABDULAH,M,55
ABDULAZIZ,M,44
ABDULBAKI,M,50
ABDULHAMID,M,70
ABDULKADIR,M,147
ABDULKERIM,M,53
ABDULLA,M,53
ABDULLAH,M,1611
ABDULMALIK,M,22
ABDULRAHMAN,M,78
ABDULSAMED,M,22
ABDULSAMET,M,29
ABDURAHMAN,M,90
ABDURRAHIM,M,39
ABDURRAHMAN,M,247
ABDUSSAMED,M,45
ABED,M,601
ABEER,F,26
ABEL,MF,27026
ABELARD,M,35
ABELARDO,M,23
ABELE,F,23
ABELIA,F,98
ABELINA,F,68
ABELINE,F,171
ABELINO,M,25
ABELLA,F,146
ABELLE,F,201
ABERT,M,21
ABES,M,68
ABESS,M,27
ABI,MF,127
ABIB,M,107
ABIBA,F,187
ABIBATA,F,25
ABIBATOU,F,91
ABIBOU,M,26
ABID,M,136
ABIDA,F,74
ABIDIN,M,28
ABIDINE,M,26
ABIE,F,42
ABIEL,M,21
ABIGAEL,MF,1579
ABIGAELLE,F,1447
ABIGAHEL,F,47
ABIGAIL,F,1954
ABIGAËL,MF,1192
ABIGAËLLE,F,1507
ABIGAÏL,F,645
ABIHA,F,29
ABIL,M,20
ABILASH,M,43
ABILIO,M,279
