patronyme,count
BLAISE,1278
BLANC,9251
BLANCHARD,5553
BLANCHE,443
BLANCHET,2469
BLANCHON,540
BLANCHOT,326
BLANCO,529
BLANDIN,1044
BLANQUART,299
BLANQUET,414
BLARD,252
BLASCO,386
BLAY,266
BLIN,1967
BLOCH,736
BLOND,470
BLONDEAU,1497
BLONDEL,2060
BLONDET,276
BLONDIN,371
BLOT,1758
BLOUET,286
BLOUIN,517
BLUM,474
BOBIN,297
BOCHET,305
BOCQUET,1376
BOCQUILLON,285
BODARD,259
BODART,338
BODET,565
BODIN,2247
BOEUF,580
BOGAERT,262
BOHN,254
BOIDIN,297
BOILEAU,625
BOILLOT,386
BOIN,271
BOIREAU,343
BOIRON,446
BOIS,1235
BOISARD,304
BOISNARD,267
BOISSEAU,1085
BOISSEL,318
BOISSET,443
BOISSIER,528
BOISSIERE,485
BOISSINOT,372
BOISSON,1244
BOISSY,401
BOITARD,287
BOITEL,336
BOITEUX,363
BOIVIN,1179
BOLLE,251
BOMPARD,282
BON,1352
BONAMY,322
BONDU,277
BONET,335
BONFILS,431
BONHOMME,1733
BONHOURE,264
BONIFACE,572
BONIN,1199
BONIS,265
BONJEAN,268
BONJOUR,339
BONNAFOUS,449
BONNAFOUX,270
BONNAIRE,319
BONNAL,351
BONNAMY,270
BONNARD,1264
BONNARDEL,285
BONNAUD,816
BONNE,399
BONNEAU,2165
BONNEFOI,272
BONNEFOND,451
BONNEFOY,1288
BONNEL,636
BONNET,9141
BONNEVILLE,354
BONNIER,494
BONNIN,1895
BONNOT,832
BONO,344
BONTE,528
BONTEMPS,1000
BONY,762
BOQUET,443
BORD,298
BORDAS,661
BORDE,620
BORDEAU,335
BORDENAVE,428
BORDERIE,293
BORDES,1450
BORDET,551
BORDIER,735
BORDIN,265
BORE,286
BOREL,1361
BORG,484
BORGES,299
BORIE,785
BORIES,490
BORNE,472
BORREL,261
BORY,274
BOS,519
BOSC,1054
BOSCH,429
BOSCHER,489
BOSQUET,351
BOSSARD,937
BOSSE,459
BOSSON,281
BOSSU,365
BOST,466
BOTELLA,395
BOTTE,354
BOTTIN,275
BOU,248
BOUALI,272
BOUARD,357
BOUAZIZ,680
BOUAZZA,289
BOUCARD,637
BOUCAUD,310
BOUCHARD,1492
BOUCHAUD,383
BOUCHE,1260
BOUCHER,3434
BOUCHEREAU,282
BOUCHERIE,273
BOUCHERON,367
BOUCHET,2970
BOUCHEZ,766
BOUCHON,355
BOUDET,1196
BOUDIER,505
BOUDIN,719
BOUDON,588
BOUDOT,411
BOUDOU,385
BOUE,655
BOUET,790
BOUFFARD,327
BOUGEARD,341
BOUGET,284
BOUHIER,341
BOUILLARD,295
BOUILLE,257
BOUILLET,657
BOUILLON,1067
BOUILLOT,521
BOUIN,394
BOUJU,271
BOULANGER,2761
BOULARD,865
BOULAY,1590
BOULE,270
BOULEAU,252
BOULENGER,260
BOULESTEIX,257
BOULET,1578
BOULIN,282
BOULLE,410
BOULOGNE,505
BOULON,296
BOUQUET,1494
BOUQUIN,324
BOUR,867
BOURAS,329
BOURASSEAU,276
BOURBON,810
BOURCIER,543
BOURDAIS,432
BOURDEAU,547
BOURDEL,262
BOURDET,564
BOURDIER,533
BOURDIN,1343
BOURDON,1955
BOUREAU,390
BOUREL,455
BOURG,538
BOURGADE,341
BOURGEAIS,288
BOURGEOIS,4448
BOURGEON,365
BOURGES,620
BOURGET,517
BOURGOGNE,260
BOURGOIN,1061
BOURGOIS,554
BOURGUET,297
BOURGUIGNON,1150
BOURHIS,587
BOURLET,275
BOURLIER,274
BOURON,458
BOURQUIN,299
BOURREAU,640
BOURREL,361
BOURRET,441
BOURSIER,619
BOURY,493
BOUSQUET,2958
BOUSSARD,480
BOUSSEAU,276
BOUTARD,264
BOUTEILLE,447
BOUTEILLER,716
BOUTELOUP,291
BOUTET,1173
BOUTHORS,280
BOUTIER,263
BOUTILLIER,371
BOUTIN,2029
BOUTON,738
BOUTONNET,341
BOUTRY,422
BOUTTIER,354
BOUVARD,810
BOUVET,1798
BOUVIER,3466
BOUYER,1033
BOUYSSOU,534
BOUZIANE,361
BOUZID,411
BOUZIDI,485
BOY,361
BOYE,410
BOYER,7849
BOZEC,341
BOZON,254
BRABANT,438
BRACHET,755
BRACONNIER,312
BRACQ,259
BRAHIM,298
BRAHIMI,465
BRAHMI,308
BRAMI,335
BRAND,460
BRANGER,336
BRARD,626
BRAS,482
BRASSART,392
BRASSEUR,619
BRAUD,808
BRAULT,1552
BRAUN,934
BRAVO,344
BRAY,421
BREANT,333
BREARD,349
BREBION,414
BRECHET,281
BREGEON,356
BREMAUD,253
BREMOND,753
BRENOT,314
BRES,426
BRESSON,1025
BRET,817
BRETEAU,333
BRETIN,296
BRETON,3086
BREUIL,746
BREVET,291
BREYSSE,399
BRIAND,2399
BRIANT,451
BRIARD,432
BRICE,509
BRICHE,306
BRICOUT,574
BRIDOUX,336
BRIEND,266
BRIERE,990
